STATE,City,Area,Year,Month,Day,Pothole_Severity,Typeofvehicle,Causes,No_of_death,No_of_injured,No_of_accident,Accident_Severity
ANDHRA PRADESH,Anantapur,A Narayanapura,2016,Jan ,20,High,Car over speed and hit to road crossing Pedestrian,Tempo/Vans (Government),23,12,30,High
ANDHRA PRADESH,Kakkalapalle,Agaram,2016,Feb,2,High,Fault of other vehicle while crossing the road two wheeler car hit,Jeep (Government),25,20,31,High
ANDHRA PRADESH,Narayanapuram,Banasavadi,2016,Mar,1,Low,Two wheeler over speed and hit to two wheeler,Jeep (Private),5,1,10,Low
ANDHRA PRADESH,Papampeta,Basavanapura,2016,Apr,5,High,Fault of road crossing pedestrian,Car (Government),10,4,21,Medium
ANDHRA PRADESH,Yenumalapalle,Bellanduru,2016,May,6,High,Truck over speed and hit to Truck,Bicycle,38,23,40,High
ANDHRA PRADESH,Avilala,Benniganahalli,2016,Jun,4,Low,Truck over speed and Hit to the Two wheeler,Pedestrian,5,2,7,Low
ANDHRA PRADESH,Mangalam,Bharathi Nagar,2016,Jul,7,High,Two wheeler over speed and hit to Tractor,Total Jeep,10,24,23,Medium
ANDHRA PRADESH,Mangasamudram,BTM Layout,2016,Aug,23,Medium,Two wheeler over speed and hit to Two wheeler,Truck/Lorry (Government),12,21,20,High
ANDHRA PRADESH,Murakambattu,C V Raman Nagar,2016,Sep,21,Low,car over speed and hit to two wheeler,Bus (Government),15,2,3,Low
ANDHRA PRADESH,Perur,Chickpete,2016,Oct,12,Low,Car over speed self accident,Tempo/Vans (Government),20,22,23,High
ANDHRA PRADESH,Arempudi,Devasandra,2016,Nov,31,High,Two wheeler self accident Drunk & Drive,Jeep (Government),2,12,14,Medium
ANDHRA PRADESH,Chidiga,Dharmaraya Swamy Temple,2016,Dec,13,Medium,Car Hit to the Multi axle,Car (Government),19,34,40,High
ANDHRA PRADESH,Morampudi,Dodda Nekkundi,2016,Jan ,30,Medium,Bike,Three Wheeler,17,21,22,Medium
ANDHRA PRADESH,Chennamukkapalle,Domlur,2016,Jan ,23,Low,Car over speed self accident,Bicycle,16,34,50,High
ANDHRA PRADESH,Dommara Nandyala,Garudachar Playa,2016,Jan ,22,Medium,T.T,Pedestrian,2,21,30,Medium
ANDHRA PRADESH,Mangampeta,Gurappanapalya,2016,Jan ,20,Low,Car over speed,Bus (Government),10,22,30,High
ANDHRA PRADESH,Modameedipalle,Hagadur,2016,Jan ,11,Medium,Car self accident defect in mechanical condition,Tempo/Vans (Government),17,21,20,Medium
ANDHRA PRADESH,Nagireddipalle,HAL Airport,2016,Jan ,19,High,Bike over speed and Vehicle out of control hit to the lorry,Tempo/Vans (Private),22,23,40,High
ANDHRA PRADESH,Veparala,Halsoor,2016,Jan ,18,Low,Car,Jeep (Government),1,3,5,Low
A & N ISLANDS,Bambooflat,Hemmigepura,2016,Jan ,15,Low,Over Speed of Car,Car (Government),2,2,4,Low
A & N ISLANDS,Garacharma,Horamavu,2016,Jan ,14,Low,Fault of road crossing pedestrian,Car (Private),4,3,5,Low
A & N ISLANDS,Port Blair,Hoysala Nagar,2016,Jan ,12,Low,Car,Three Wheeler,5,7,8,Low
A & N ISLANDS,Prothrapur,HSR Layout,2016,Jan ,18,Medium,Multi axle over speed and hit to car,Bicycle,8,23,25,High
A & N ISLANDS,Diglipur,Hudi,2016,Jan ,17,Medium,Truck over speed and hit LCV,Pedestrian,11,12,30,Medium
A & N ISLANDS,Mayabunder,J P Nagar,2016,Jan ,14,High,Tata Ace hit to the car,Others (Please Specify),9,20,31,High
A & N ISLANDS,Tusnabad,Jaraganahalli,2016,Jan ,9,Medium,Car over speed and hit to Animal (Cow),Total Tempo/Vans,13,1,10,High
A & N ISLANDS,Indira Point,Jayanagar East,2016,Jan ,8,High,Car over speed self accident,Total Car,20,4,21,High
A & N ISLANDS,Swaraj Dweep,Jeevanbhima Nagar,2016,Jan ,10,Medium,Truck over speed and hit to Car,Truck/Lorry (Government),21,23,40,High
A & N ISLANDS,Zonal Anthropological Museum,Jogupalya,2016,Jan ,20,Medium,Fault of road crossing pedestrian,Bus (Government),19,2,7,High
A & N ISLANDS,Cellular Jail,K R Puram,2016,Jan ,2,High,Truck over speed and hit to LCV,Tempo/Vans (Government),22,24,23,Medium
A & N ISLANDS,Port Blair,Kacharkanahalli,2016,Jan ,1,Low,Self accident Driver sleeping,Tempo/Vans (Private),3,21,20,Medium
A & N ISLANDS,Garacharma,Kadugodi,2016,Jan ,5,Medium,Fault of Two wheeler over speed to crossing road,Jeep (Government),1,2,3,Medium
A & N ISLANDS,Prothrapur,Kammanahalli,2016,Jan ,6,Low,Car over speed and hit to car,Car (Government),10,22,23,Low
A & N ISLANDS,Cellular Jail,Konena Agrahara,2016,Jan ,4,Low,Truck over speed and hit to Bike & Bus,Car (Private),20,12,14,High
A & N ISLANDS,Port Blair,Madivala,2016,Feb,7,Medium,Two wheeler over speed and hit to Two wheeler,Bicycle,21,34,40,High
A & N ISLANDS,Prothrapur,Marathahalli,2016,Feb,23,Low,Car over speed self accident,Others (Please Specify),23,21,22,High
A & N ISLANDS,Zonal Anthropological Museum,New Tippasandara,2016,Feb,21,Low,Two wheeler over speed self accident,Total Tempo/Vans,21,34,50,High
A & N ISLANDS,Indira Point,Other,2016,Feb,12,Medium,Driver sleeping vehicle out of control and skidding,Total Car,12,21,30,Low
A & N ISLANDS,Tusnabad,other,2016,Feb,31,Medium,Bus over speed and hit to Two wheeler,Truck/Lorry (Government),15,22,30,Low
ARUNACHAL PRADESH,Itanagar,Ramamurthy Nagar,2016,Feb,13,High,Bus over speed and hit to two wheeler,Tempo/Vans (Government),13,21,20,Medium
ARUNACHAL PRADESH,East Siang district,Sampangiram Nagar,2016,Feb,30,Low,Car over speed and hit to car,Tempo/Vans (Private),10,23,40,Medium
ARUNACHAL PRADESH,Ziro,Sarakki,2016,Feb,23,Medium,Car over speed and hit to car,Jeep (Government),20,3,5,High
ARUNACHAL PRADESH,Bomdila,Shantala Nagar,2016,Feb,22,Medium,LCV vehicle over speed out of controll,Jeep (Private),5,2,4,High
ARUNACHAL PRADESH,Jairampur,Singasandra,2016,Feb,20,High,Bike,Car (Government),6,3,5,High
ARUNACHAL PRADESH,Naharlagun,Sudham Nagara,2016,Feb,11,Low,Bike,Bicycle,7,7,8,High
ARUNACHAL PRADESH,Deomali,Varthuru,2016,Feb,19,High,Car over speed hit to Two wheeler. Fault of Two wheeler crossing the illegal median.,Pedestrian,9,23,25,Medium
ARUNACHAL PRADESH,Seppa,Vasanthpura,2016,Feb,18,Low,Truck over speed and hit to car,Others (Please Specify),1,12,30,Low
ARUNACHAL PRADESH,Changlang,Vijnana Nagar,2016,Feb,15,Medium,Two wheeler over speed and take U turn and hit to the car,Total Tempo/Vans,12,20,31,Medium
ARUNACHAL PRADESH,Bordumsa,Vijnanapura,2016,Feb,14,High,Vehicle over speed and Out of Control,Total Jeep,5,1,10,Medium
ARUNACHAL PRADESH,Anini,Yelchenahalli,2016,Feb,12,Low,Bike raiding vehicle out of control,Bus (Government),6,4,21,High
ARUNACHAL PRADESH,Vijoynagar,A Narayanapura,2016,Feb,18,High,Two wheeler over speed and hit to Car,Tempo/Vans (Government),3,23,40,High
ARUNACHAL PRADESH,Boleng,Agaram,2016,Feb,17,High,Car over speed and Hit to LCV,Tempo/Vans (Private),5,2,7,High
ARUNACHAL PRADESH,Chowkham,Banasavadi,2016,Feb,14,Low,Self accident Drunk & Drive,Jeep (Government),10,24,23,Low
ARUNACHAL PRADESH,Mechuka,Basavanapura,2016,Feb,9,High,Two wheeller over speed and Hit to JCB,Car (Government),12,21,20,High
ARUNACHAL PRADESH,Banderdawa Papum Pare,Bellanduru,2016,Feb,8,High,Self Accident Drunk & Drive,Car (Private),15,2,3,High
ARUNACHAL PRADESH,Lazu,Benniganahalli,2016,Feb,10,Low,The vehicle of lorry hit to Road crossing passenger,Two Wheeler,20,22,23,Low
ARUNACHAL PRADESH,Hunli,Bharathi Nagar,2016,Feb,20,High,Drunk & Drive,Bicycle,2,12,14,High
ARUNACHAL PRADESH,Nirjuli,BTM Layout,2016,Feb,2,Medium,Two wheeler over speed self accident,Pedestrian,19,34,40,Medium
ARUNACHAL PRADESH,Namsang,C V Raman Nagar,2016,Feb,1,Low,LCV over speed and hit to road crossing pedestrain,Others (Please Specify),17,21,22,Low
ARUNACHAL PRADESH,Dambuk,Chickpete,2016,Feb,5,Low,Two wheeler over speed Self accident,Total Tempo/Vans,16,34,50,Low
ASSAM,Guwahati,Devasandra,2016,Feb,6,High,car over speed out of control,Total Car,2,21,30,High
ASSAM,Silchar,Dharmaraya Swamy Temple,2016,Feb,4,Medium,Wrong route of Auto come and Hit to the Car over speed,Truck/Lorry (Government),13,22,30,Medium
ASSAM,Dibrugarh,Dodda Nekkundi,2016,Feb,7,Medium,Fault of driver of Motor vehicle,Bus (Government),17,21,20,Medium
ASSAM,Jorhat,Domlur,2016,Feb,23,Low,TATA ACE,Bus (Private),2,23,40,Low
ASSAM,Nagaon,Garudachar Playa,2016,Feb,21,Medium,Car over speed and hit to Car,Tempo/Vans (Government),1,3,5,Medium
ASSAM,Tinsukia,Gurappanapalya,2016,Feb,12,Low,Car,Tempo/Vans (Private),2,2,4,Low
ASSAM,Tezpur,Hagadur,2016,Feb,31,Medium,Tempo over Speed,Jeep (Government),4,3,5,Medium
ASSAM,Bongaigaon,HAL Airport,2016,Feb,13,High,Car over speed self accident. Negligible Driving,Car (Government),5,7,8,High
ASSAM,Diphu,Halsoor,2016,Feb,30,Low,Truck over speed and hit to Car,Bicycle,8,23,25,Low
ASSAM,Dhubri ,Hemmigepura,2016,Feb,23,Low,Truck,Others (Please Specify),11,12,30,Low
ASSAM,North Lakhimpur,Horamavu,2016,Feb,22,Low,Over Speed of Lorry,Total Bus,9,20,31,Low
ASSAM,Karimganj,Hoysala Nagar,2016,Feb,20,Low,LCV over speed Tyre blast self accident,Total Tempo/Vans,13,1,10,Low
ASSAM,Golaghat,HSR Layout,2016,Mar,11,Medium,Two wheeler over speed and hit to Two wheeler,Bus (Government),20,4,21,Medium
ASSAM,Lanka,Hudi,2016,Mar,19,Medium,Car over speed and hit to road crossing pedestrian. Fault of Pedestrian.,Tempo/Vans (Government),21,23,40,Medium
ASSAM,Hojai,J P Nagar,2016,Mar,18,High,Fault of road crossing pedestrian. Vehicle over speed and hit to pedestrian,Jeep (Government),19,2,7,High
ASSAM,Mangaldai,Jaraganahalli,2016,Mar,15,Medium,Two wheeler over speed turning the opening opposite vehicle of truck hit to two wheeler,Car (Government),22,24,23,Medium
ASSAM,Lanka,Jayanagar East,2016,Mar,14,High,Car over speed and hit to Agriculture vehicle.,Three Wheeler,3,21,20,High
ASSAM,Kokrajhar,Jeevanbhima Nagar,2016,Mar,12,Medium,Car self accident defect in mechanical condition,Bicycle,1,2,3,Medium
ASSAM,Morigaon,Jogupalya,2016,Mar,18,Medium,Vehicle Hit to Road crossing Pedestrian,Truck/Lorry (Government),10,22,23,Medium
ASSAM,Nalbari,K R Puram,2016,Mar,17,High,Two wheeler over speed and hit to Car,Tempo/Vans (Government),20,12,14,High
ASSAM,Rangia,Kacharkanahalli,2016,Mar,14,Low,Two wheeler Hit and run Road crossing pedestrian,Tempo/Vans (Private),21,34,40,Low
BIHAR,Patna,Kadugodi,2016,Mar,9,Medium,Car over speed self accident,Jeep (Government),23,21,22,Medium
BIHAR,Muzaffarpur,Kammanahalli,2016,Mar,8,Low,Fault of Two wheeler over speed,Car (Government),21,34,50,Low
BIHAR,Gaya,Konena Agrahara,2016,Mar,10,Low,Two wheeler over speed and hit to car,Bicycle,12,21,30,Low
BIHAR,Bihar Sharif,Madivala,2016,Mar,20,Medium,Unknown vehicle hit to Road crossing pedestrian,Pedestrian,15,22,30,Medium
BIHAR,Nalanda,Marathahalli,2016,Mar,2,Low,Self Accident Drunk & Drive,Total Tempo/Vans,13,21,20,Low
BIHAR,Begusarai,New Tippasandara,2016,Mar,1,Low,Car over speed fault of driver,Truck/Lorry (Government),10,23,40,Low
BIHAR,Munger,Other,2016,Mar,5,Medium,KSRTC bus over speed Hit to Car,Bus (Government),20,3,5,Medium
BIHAR,Bodh Gaya,other,2016,Apr,6,Medium,car over speed and hit to two wheeler,Tempo/Vans (Government),5,2,4,Medium
BIHAR,Katihar,Ramamurthy Nagar,2016,Apr,4,High,Truck over speed and Hit to the Two wheeler,Tempo/Vans (Private),6,3,5,High
BIHAR,Hajipur,Sampangiram Nagar,2016,Apr,7,Low,Car,Jeep (Government),7,7,8,Low
BIHAR,Chapra,Sarakki,2016,Apr,23,Medium,Two wheeler over speed hit to two wheeler,Car (Government),9,23,25,Medium
BIHAR,Bettiah,Shantala Nagar,2016,Apr,21,Medium,Two wheeler over speed and vehicle out of control skidding self accident,Others (Please Specify),1,12,30,Medium
BIHAR,Siwan,Singasandra,2016,Apr,12,High,car over speed and hit to two wheeler,Total Tempo/Vans,12,20,31,High
BIHAR,Danapur,Sudham Nagara,2016,Apr,31,Low,Two wheeler over speed Self accident,Truck/Lorry (Government),5,1,10,Low
BIHAR,Samastipur,Varthuru,2016,Apr,13,High,Car over speed Driver sleeping vehicle skidding,Truck/Lorry (Private),6,4,21,High
BIHAR,Khagaul,Vasanthpura,2016,Apr,30,Low,Car over speed and hit to LCV,Bus (Government),3,23,40,Low
BIHAR,Bagaha,Vijnana Nagar,2016,Apr,23,Medium,Car over speed and Hit to LCV,Tempo/Vans (Government),5,2,7,Medium
BIHAR,Lakhisarai,Vijnanapura,2016,Apr,22,High,Tractor over speed U turn and hit to Car,Tempo/Vans (Private),10,24,23,High
BIHAR,Forbesganj,Yelchenahalli,2016,Apr,20,Low,Car,Jeep (Government),12,21,20,Low
BIHAR,Sherghati,A Narayanapura,2016,Apr,11,High,Car,Car (Government),15,2,3,High
BIHAR,Daudnagar,Agaram,2016,Apr,19,High,Fault of Car over speed and hit to the KSRTC bus,Car (Private),20,22,23,High
CHANDIGARH,Jalandhar,Banasavadi,2016,Apr,18,Low,Drunk & Drive of car driver,Bicycle,2,12,14,Low
CHANDIGARH,Patiala,Basavanapura,2016,Apr,15,High,Car over speed and hit to road crossing Pedestrian,Others (Please Specify),19,34,40,High
CHANDIGARH,Mohali,Bellanduru,2016,Apr,14,High,Bus hit to road crossing pedestrian. Fault of Pedestrian,Total Truck/Lorry,17,21,22,High
CHANDIGARH,Amritsar,Benniganahalli,2016,Apr,12,Low,Truck over speed and hit to Two wheeler,Total Tempo/Vans,16,34,50,Low
CHANDIGARH,Ludhiana,Bharathi Nagar,2016,Apr,18,High,Bus over speed and hit to Auto,Total Car,2,21,30,High
CHANDIGARH,Moga,BTM Layout,2016,Apr,17,Medium,Two wheeler over speed skidding,Truck/Lorry (Government),13,22,30,Medium
CHANDIGARH,Patiala,C V Raman Nagar,2016,Apr,14,Low,The car tyre puncher vehicle skidding on the carriageway,Bus (Government),17,21,20,Low
CHANDIGARH,Mohali,Chickpete,2016,Apr,9,Low,Car over speed self accident,Bus (Private),2,23,40,Low
CHANDIGARH,Khanna,Devasandra,2016,Apr,8,High,Car over speed hit to Truck,Tempo/Vans (Government),1,3,5,High
CHANDIGARH,Phagwara,Dharmaraya Swamy Temple,2016,Apr,10,Medium,car over speed and hit to two wheeler,Tempo/Vans (Private),2,2,4,Medium
CHANDIGARH,Abohar,Dodda Nekkundi,2016,Apr,20,Medium,Over speed car and Hit to the Road Pedestrian,Jeep (Government),4,3,5,Medium
CHANDIGARH,Sri Muktsar Sahib,Domlur,2016,Apr,2,Low,Car over speed and hit to car,Car (Government),5,7,8,Low
CHANDIGARH,Rajpura,Garudachar Playa,2016,Apr,1,Medium,Unknown vehicle hit to bike,Car (Private),8,23,25,Medium
CHANDIGARH,Firozpur,Gurappanapalya,2016,Apr,5,Low,Car skidding on MCW because driver sleeping,Bicycle,11,12,30,Low
CHANDIGARH,Kapurthala,Hagadur,2016,Apr,6,Medium,Fault of Road crossing pedestrian,Others (Please Specify),9,20,31,Medium
CHANDIGARH,Faridkot,HAL Airport,2016,Apr,4,High,Two wheeler over speed Self accident,Total Bus,13,1,10,High
CHANDIGARH,Sunam,Halsoor,2016,Apr,7,Low,Two wheeler over speed self accident,Total Tempo/Vans,20,4,21,Low
CHANDIGARH,Rajpura,Hemmigepura,2016,Apr,23,Low,Car over speed and hit to car,Total Car,21,23,40,Low
CHANDIGARH,Firozpur,Horamavu,2016,Apr,21,Low,Fault of road crossing pedestrian,Bus (Government),19,2,7,Low
CHANDIGARH,Sunam,Hoysala Nagar,2016,Apr,12,Low,Drunk & Drive,Tempo/Vans (Private),22,24,23,Low
CHANDIGARH,Patiala,HSR Layout,2016,Apr,31,Medium,TATA Ace Hit to Car over speeding,Jeep (Government),3,21,20,Medium
CHHATTISGARH,Raipur,Hudi,2016,Apr,13,Medium,Car over speed and hit to Two wheeler,Car (Government),1,2,3,Medium
CHHATTISGARH,Bilaspur,J P Nagar,2016,Apr,30,High,Bike over speed fault of Motor vehicle,Car (Private),10,22,23,High
CHHATTISGARH,Korba,Jaraganahalli,2016,Apr,23,Medium,Car over speed and hit to run the Pedestrian,Three Wheeler,20,12,14,Medium
CHHATTISGARH,Bhilai,Jayanagar East,2016,Apr,22,High,Fault of driver of Motor vehicle,Bicycle,21,34,40,High
CHHATTISGARH,Ambikapur,Jeevanbhima Nagar,2016,May,20,Medium,Bike Drunk & Drive,Others (Please Specify),23,21,22,Medium
CHHATTISGARH,Jagdalpur,Jogupalya,2016,May,11,Medium,Car over speed and hit to road crossing Pedestrian,Total Car,21,34,50,Medium
CHHATTISGARH,Durg,K R Puram,2016,May,19,High,Car over speed vehicle out of control skidding,Tempo/Vans (Government),12,21,30,High
CHHATTISGARH,Rajnandgaon,Kacharkanahalli,2016,May,18,Low,Car over speed vehicle out of control Self accident,Car (Government),15,22,30,Low
CHHATTISGARH,Ratanpur,Kadugodi,2016,May,15,Medium,LCV over speed and hit to Truck. Driver sleep and Drink & Drive,Car (Private),13,21,20,Medium
CHHATTISGARH,Bemetara,Kammanahalli,2016,May,14,Low,Bike,Bicycle,10,23,40,Low
CHHATTISGARH,Gaurella,Konena Agrahara,2016,May,12,Low,car over speed and hit to two wheeler,Pedestrian,20,3,5,Low
CHHATTISGARH,Saraipali,Madivala,2016,May,18,Medium,Total 3nos of vehicle accident in the spot,Others (Please Specify),5,2,4,Medium
CHHATTISGARH,Bilha,Marathahalli,2016,May,17,Low,Total 3nos of vehicle accident in the spot,Total Car,6,3,5,Low
CHHATTISGARH,Gharghoda,New Tippasandara,2016,May,14,Low,Self accident vehicle over speed,Tempo/Vans (Government),7,7,8,Low
CHHATTISGARH,Janjgir,Other,2016,May,9,Medium,Self Accident Drunk & Drive,Jeep (Government),9,23,25,Medium
CHHATTISGARH,Kurud,other,2016,May,8,Medium,Mini truck crushed with Truck. Negligent driving of Mini truck driver,Car (Government),1,12,30,Medium
CHHATTISGARH,Naya Raipur,Ramamurthy Nagar,2016,May,10,High,Two wheeler overspeed and vehicle out of control skidding,Car (Private),12,20,31,High
CHHATTISGARH,Arang,Sampangiram Nagar,2016,May,20,Low,Car over speed and hit to Car,Pedestrian,5,1,10,Low
CHHATTISGARH,Pendra,Sarakki,2016,May,2,Medium,Fault of Pedestrian,Others (Please Specify),6,4,21,Medium
CHHATTISGARH,Dhamdha,Shantala Nagar,2016,May,1,Medium,Negligent driving of the Auto driver,Total Car,3,23,40,Medium
CHHATTISGARH,Bhatapara,Singasandra,2016,May,5,High,Bus over speed and hit to Car & LCV,Bus (Government),5,2,7,High
D & N HAVELI,Silvassa,Sudham Nagara,2016,May,6,Low,Car over speed and hit to car,Tempo/Vans (Government),10,24,23,Low
D & N HAVELI,Masat,Varthuru,2016,May,4,High,Car hit to road crossing pedestrian,Jeep (Government),12,21,20,High
D & N HAVELI,Marwad,Vasanthpura,2016,May,7,Low,Drunk & Drive,Car (Government),15,2,3,Low
D & N HAVELI,Dunetha,Vijnana Nagar,2016,May,23,Medium,Car over speed and hit to Auto vehicle out of control,Others (Please Specify),20,22,23,Medium
D & N HAVELI,Daman,Vijnanapura,2016,May,21,High,Truck over speed and hit to car,Tempo/Vans (Government),2,12,14,High
D & N HAVELI,Dadra,Yelchenahalli,2016,May,12,Low,Over Speed Vehicle out of Control,Car (Government),19,34,40,Low
D & N HAVELI,Bhimpore,A Narayanapura,2016,May,31,High,car over speed and hit to two wheeler,Bicycle,17,21,22,High
D & N HAVELI,Silvassa,Agaram,2016,May,13,High,Car over speed and hit to car,Others (Please Specify),16,34,50,High
D & N HAVELI,Masat,Banasavadi,2016,May,30,Low,LCV over speed and hit to Truck,Bus (Government),2,21,30,Low
D & N HAVELI,Marwad,Basavanapura,2016,May,23,High,Truck over speed and hit to Car,Tempo/Vans (Private),13,22,30,High
D & N HAVELI,Dunetha,Bellanduru,2016,May,22,High,Unknown vehicle over speed and hit to two wheeler,Three Wheeler,17,21,20,High
D & N HAVELI,Daman,Benniganahalli,2016,May,20,Low,Car over speed and hit to Two wheeler,Bicycle,2,23,40,Low
D & N HAVELI,Dadra,Bharathi Nagar,2016,May,11,High,Over Speed of Car,Pedestrian,1,3,5,High
D & N HAVELI,Bhimpore,BTM Layout,2016,May,19,Medium,Car,Tempo/Vans (Government),2,2,4,Medium
D & N HAVELI,Silvassa,C V Raman Nagar,2016,May,18,Low,Truck over speed and hit to Two wheeler. Negligence Driving of Two wheeler.,Tempo/Vans (Private),4,3,5,Low
D & N HAVELI,Masat,Chickpete,2016,May,15,Low,Bus over speed hit to LCV,Car (Government),5,7,8,Low
D & N HAVELI,Marwad,Devasandra,2016,May,14,High,Car over speed self accident,Pedestrian,8,23,25,High
D & N HAVELI,Dunetha,Dharmaraya Swamy Temple,2016,May,12,Medium,Two wheeler over speed and hit to Tractor,Total Tempo/Vans,11,12,30,Medium
D & N HAVELI,Daman,Dodda Nekkundi,2016,Jun,18,Medium,car over speed and hit to two wheeler,Tempo/Vans (Government),9,20,31,Medium
D & N HAVELI,Dadra,Domlur,2016,Jun,17,Low,Two wheeler over speed and hit to LCV,Tempo/Vans (Private),13,1,10,Low
D & N HAVELI,Bhimpore,Garudachar Playa,2016,Jun,14,Medium,Self Accident Drunk & Drive,Car (Government),20,4,21,Medium
DAMAN & DIU,Daman,Gurappanapalya,2016,Jun,9,Low,LCV over speed and hit to LCV,Bicycle,21,23,40,Low
DAMAN & DIU,Diu,Hagadur,2016,Jun,8,Medium,Bike over speed fault of Motor vehicle,Others (Please Specify),19,2,7,Medium
DAMAN & DIU,Dunetha,HAL Airport,2016,Jun,10,High,Bus over speed and hit to Agricultural vehicle.,Total Tempo/Vans,22,24,23,High
DAMAN & DIU,Kachigam,Halsoor,2016,Jun,20,Low,LCV over speed self accident,Tempo/Vans (Government),3,21,20,Low
DAMAN & DIU,Bhimpore,Hemmigepura,2016,Jun,2,Low,Car over speed self accident,Tempo/Vans (Private),1,2,3,Low
DAMAN & DIU,Dadhel,Horamavu,2016,Jun,1,Low,Lorry over speed and Hit to Two wheeler,Car (Government),10,22,23,Low
DAMAN & DIU,Marwad,Hoysala Nagar,2016,Jun,5,Low,Car over speed,Bicycle,20,12,14,Low
DAMAN & DIU,Masat,HSR Layout,2016,Jun,6,Medium,Two wheeler over speed hit to Bus,Others (Please Specify),21,34,40,Medium
DAMAN & DIU,Naroli,Hudi,2016,Jun,4,Medium,Two wheeler over speed Self accident,Total Tempo/Vans,23,21,22,Medium
DAMAN & DIU,Silvassa,J P Nagar,2016,Jun,7,High,Bus over speed and hit to two wheeler,Jeep (Government),21,34,50,High
DAMAN & DIU,Masat,Jaraganahalli,2017,Jun,23,Medium,Self accident over speed,Tempo/Vans (Government),12,21,30,Medium
DAMAN & DIU,Marwad,Jayanagar East,2017,Jun,21,High,Truck ramped to car,Bicycle,15,22,30,High
DAMAN & DIU,Dunetha,Jeevanbhima Nagar,2017,Jun,12,Medium,Maurthi van hit to Milk van over speed,Pedestrian,13,21,20,Medium
DAMAN & DIU,Diu,Jogupalya,2017,Jun,31,Medium,Two wheeler over speed and hit to Road crossing pedestrian,Tempo/Vans (Government),10,23,40,Medium
DAMAN & DIU,Bhimpore,K R Puram,2017,Jun,13,High,Bike over speed and hit to Tractor,Car (Government),20,3,5,High
DAMAN & DIU,Marwad,Kacharkanahalli,2017,Jun,30,Low,Car,Bicycle,5,2,4,Low
DAMAN & DIU,Masat,Kadugodi,2017,Jun,23,Medium,Bus over speed. Defects in mechanical condition,Others (Please Specify),6,3,5,Medium
DAMAN & DIU,Naroli,Kammanahalli,2017,Jun,22,Low,Drunk & Drive of car driver,Truck/Lorry (Government),7,7,8,Low
DAMAN & DIU,Kachigam,Konena Agrahara,2017,Jun,20,Low,"Truck over speed, vehicle out of control and vehicle skidding the shoulder side",Tempo/Vans (Government),9,23,25,Low
DAMAN & DIU,Diu,Madivala,2017,Jun,11,Medium,Car hit to the other car because of over speed on the carriageway and vehicle out of control,Jeep (Government),1,12,30,Medium
DAMAN & DIU,Daman,Marathahalli,2017,Jun,19,Low,Two wheeler over speed Self accident,Car (Government),12,20,31,Low
DELHI (UT),Delhi Cantonment,New Tippasandara,2017,Jun,18,Low,Two wheeler over speed Self accident,Tempo/Vans (Government),5,1,10,Low
