STATE,City,Area,Year,Month,Day,Pothole_Severity,Typeofvehicle,Causes,No_of_death,No_of_injured,No_of_accident,Accident_Severity
PUDUCHERRY,Mahé,C V Raman Nagar,2019,September,8,Low,Bike Rider,Truck/Lorry (Private),10,24,23,Low
PUDUCHERRY,Kurumbapet,Chickpete,2019,September,10,Low,Car over speed and hit to car,Bus (Government),12,21,20,Low
PUDUCHERRY,Thirumalairayanpattinam,Devasandra,2019,September,20,High,Bus driver driving wrong route and hit to Bus,Bus (Private),15,2,3,High
PUDUCHERRY,Puducherry,Dharmaraya Swamy Temple,2019,September,2,Medium,Drunk & Drive,Tempo/Vans (Government),20,22,23,Medium
PUDUCHERRY,Yanam,Dodda Nekkundi,2019,September,1,Medium,The vehicle over speed and skidding,Tempo/Vans (Private),2,12,14,Medium
PUDUCHERRY,Villianur,Domlur,2019,September,5,Low,Two wheeler over speed and vehicle out of control and hit to Truck,Jeep (Government),19,34,40,Low
PUDUCHERRY,Puducherry,Garudachar Playa,2019,September,6,Medium,Two wheeler over speed and hit to Car,Jeep (Private),17,21,22,Medium
PUDUCHERRY,Ozhukarai,Gurappanapalya,2019,September,4,Low,Vehicle over speed out of control,Car (Government),16,34,50,Low
PUDUCHERRY,Manavely,Hagadur,2019,September,7,Medium,Car over speed self accident. Defects in mechanical condition,Car (Private),2,21,30,Medium
PUDUCHERRY,Mahé,HAL Airport,2019,September,23,High,Unknown vehicle hit to Road crossing pedestrian,Others (Please Specify),13,22,30,High
PUDUCHERRY,Kurumbapet,Halsoor,2019,October,21,Low,Multi axle over speed and hit to Truck,Total Bus,17,21,20,Low
PUDUCHERRY,Ozhukarai,Hemmigepura,2019,October,12,Low,Two wheeler over speed and hit to Auto,Total Tempo/Vans,2,23,40,Low
PUDUCHERRY,Manavely,Horamavu,2019,October,31,Low,Two wheeler over speed Drunk & Drive,Total Jeep,1,3,5,Low
PUDUCHERRY,Mahé,Hoysala Nagar,2019,October,13,Low,Car over speed and Hit to Two wheeler,Total Car,2,2,4,Low
PUNJAB,Amritsar,HSR Layout,2019,October,30,Medium,Unknown vehicle hit to Road crossing pedestrian,Truck/Lorry (Government),4,3,5,Medium
PUNJAB,Ludhiana,Hudi,2019,October,23,Medium,Multi Axle over speed and hit to Multi axle,Bus (Government),5,7,8,Medium
PUNJAB,Jalandhar,J P Nagar,2019,October,22,High,Car over speed and hit to Agriculture vehicle.,Bicycle,8,23,25,High
PUNJAB,Patiala,Jaraganahalli,2019,October,20,Medium,Car over speed self accident,Truck/Lorry (Government),11,12,30,Medium
PUNJAB,Bathinda,Jayanagar East,2019,October,11,High,Bike over speed and vehicle skidding,Truck/Lorry (Private),9,20,31,High
PUNJAB,Hoshiarpur,Jeevanbhima Nagar,2019,October,19,Medium,Car self accident Drink & Drive and Negligence Driving,Bus (Government),13,1,10,Medium
PUNJAB,Mohali,Jogupalya,2019,October,18,Medium,Bike over speed Hit to TATA 407,Tempo/Vans (Government),20,4,21,Medium
PUNJAB,Malerkotla,K R Puram,2019,October,15,High,Car over speed and hit to road crossing Pedestrian,Tempo/Vans (Private),21,23,40,High
PUNJAB,Amritsar,Kacharkanahalli,2019,October,14,Low,Car over speed fault of driver other vehicle,Jeep (Government),19,2,7,Low
PUNJAB,Ludhiana,Kadugodi,2019,October,12,Medium,Car over speed and hit to Truck,Jeep (Private),22,24,23,Medium
PUNJAB,Jalandhar,Kammanahalli,2019,October,18,Low,Truck over speed self accident,Car (Government),3,21,20,Low
PUNJAB,Patiala,Konena Agrahara,2019,October,17,Low,Truck over speed and hit to Car,Three Wheeler,1,2,3,Low
PUNJAB,Bathinda,Madivala,2019,October,14,Medium,Two wheeler over speed hit to two wheeler,Total Truck/Lorry,10,22,23,Medium
PUNJAB,Hoshiarpur,Marathahalli,2019,October,9,Low,Two wheeler over speed Self accident,Total Tempo/Vans,20,12,14,Low
PUNJAB,Mohali,New Tippasandara,2019,October,8,Low,LCV over speed Tyre blast self accident,Total Jeep,21,34,40,Low
PUNJAB,Malerkotla,Other,2019,October,10,Medium,Truck over speed and Hit to the LCV,Jeep (Government),23,21,22,Medium
PUNJAB,Amritsar,other,2019,October,20,Medium,LCV over speed and hit to Two wheeler,Jeep (Government),21,34,50,Medium
PUNJAB,Ludhiana,Ramamurthy Nagar,2019,October,2,High,Car over speed hit to Two wheeler,Car (Government),12,21,30,High
PUNJAB,Jalandhar,Sampangiram Nagar,2019,October,1,Low,Car over speed and hit to LCV,Tempo/Vans (Government),15,22,30,Low
PUNJAB,Patiala,Sarakki,2019,October,5,Medium,Car over speed and hit to Pedestrian cross on the road,Car (Government),13,21,20,Medium
PUNJAB,Bathinda,Shantala Nagar,2019,October,6,Medium,Fault of Motor vehicle over speed and Hit to BMTC Bus,Jeep (Government),10,23,40,Medium
RAJASTHAN,Jaipur,Singasandra,2019,October,4,High,BBMP Garbage vehicle overload and vehicle upset in the carriageway,Jeep (Government),20,3,5,High
RAJASTHAN,Jaisalmer,Sudham Nagara,2019,November,7,Low,LCV over speed and hit to Two wheeler,Jeep (Government),5,2,4,Low
RAJASTHAN,Udaipur,Varthuru,2019,November,23,High,Bus hit to road crossing pedestrian. Fault of Pedestrian,Truck/Lorry (Government),6,3,5,High
RAJASTHAN,Jodhpur,Vasanthpura,2019,November,21,Low,Car over speed and Hit to Road crossing Lorry,Jeep (Government),7,7,8,Low
RAJASTHAN,Bikaner,Vijnana Nagar,2019,November,12,Medium,car over speed vehicle out of control,Car (Government),9,23,25,Medium
RAJASTHAN,Jaipur,Vijnanapura,2020,November,31,High,Truck,Truck/Lorry (Government),1,12,30,High
RAJASTHAN,Jaisalmer,Yelchenahalli,2020,November,13,Low,Car over speed,Tempo/Vans (Government),12,20,31,Low
RAJASTHAN,Udaipur,A Narayanapura,2020,November,30,High,Car tyre blast vehicle out of control and hit to Two wheeler,Jeep (Government),5,1,10,High
RAJASTHAN,Jodhpur,Agaram,2020,November,23,High,Unknown vehicle hit to Road crossing pedestrian,Car (Government),6,4,21,High
RAJASTHAN,Bikaner,Banasavadi,2020,November,22,Low,Two wheeler over speed Self accident,Truck/Lorry (Government),3,23,40,Low
RAJASTHAN,Jaipur,Basavanapura,2020,November,20,High,Two wheeler over speed self accident,Tempo/Vans (Government),5,2,7,High
RAJASTHAN,Jaisalmer,Bellanduru,2020,November,11,High,Bike over speed Drunken and Drive Hit to Tractor,Jeep (Government),10,24,23,High
RAJASTHAN,Udaipur,Benniganahalli,2020,November,19,Low,Two wheeler over speed and hit to Two wheeler,Car (Government),12,21,20,Low
RAJASTHAN,Jodhpur,Bharathi Nagar,2020,November,18,High,Car,Truck/Lorry (Government),15,2,3,High
RAJASTHAN,Bikaner,BTM Layout,2020,November,15,Medium,LCV over speed and hit to LCV. Defects in mechanical condition,Bus (Government),20,22,23,Medium
RAJASTHAN,Jaipur,C V Raman Nagar,2020,November,14,Low,Two wheeler over speed and over take the bus. Bus hit to Two wheeler,Jeep (Government),2,12,14,Low
RAJASTHAN,Jaisalmer,Chickpete,2020,November,12,Low,LCV over speed and hit to Truck,Car (Government),19,34,40,Low
RAJASTHAN,Udaipur,Devasandra,2020,November,18,High,Car,Truck/Lorry (Government),17,21,22,High
RAJASTHAN,Jodhpur,Dharmaraya Swamy Temple,2020,November,17,Medium,Two wheeler over speed and hit to car,Bus (Government),16,34,50,Medium
RAJASTHAN,Bikaner,Dodda Nekkundi,2020,November,14,Medium,Vehicle over speed and Out of Control,Tempo/Vans (Government),2,21,30,Medium
RAJASTHAN,Udaipur,Domlur,2020,December,9,Low,Two wheeler over speed Self accident,Jeep (Government),13,22,30,Low
SIKKIM,Gangtok,Garudachar Playa,2020,December,8,Medium,Car over speed vehicle out of control hit to Agricultural vehicle.,Car (Government),17,21,20,Medium
SIKKIM,Gyalshing,Gurappanapalya,2020,December,10,Low,Bike,Truck/Lorry (Government),2,23,40,Low
SIKKIM,Jorethang,Hagadur,2020,December,20,Medium,Multi axle over speed self accident,Bus (Government),1,3,5,Medium
SIKKIM,Mangan,HAL Airport,2020,December,2,High,Multi Axle hit to Two wheeler.,Jeep (Government),2,2,4,High
SIKKIM,Gangtok,Halsoor,2020,December,1,Low,Fault of road crossing pedestrian. Vehicle over speed and hit to pedestrian,Car (Government),4,3,5,Low
SIKKIM,Gyalshing,Hemmigepura,2020,December,5,Low,Truck over speed and hit to Car,Truck/Lorry (Government),5,7,8,Low
SIKKIM,Jorethang,Horamavu,2020,December,6,Low,Two wheeler over speed Self accident,Tempo/Vans (Government),8,23,25,Low
SIKKIM,Mangan,Hoysala Nagar,2020,December,4,Low,Car overspeed and skidding fault of driver self accident,Jeep (Government),11,12,30,Low
SIKKIM,Gangtok,HSR Layout,2020,December,7,Medium,Truck over speed and hit to LCV,Car (Government),9,20,31,Medium
SIKKIM,Gyalshing,Hudi,2020,December,23,Medium,Multi Axle hit to Two wheeler.,Truck/Lorry (Government),13,1,10,Medium
SIKKIM,Jorethang,J P Nagar,2020,December,21,High,Vehicle over speed and hit to the road crossing vehicle,Tempo/Vans (Government),20,4,21,High
SIKKIM,Mangan,Jaraganahalli,2020,December,12,Medium,Truck over speed and hit to Car,Car (Government),21,23,40,Medium
SIKKIM,Gangtok,Jayanagar East,2020,December,31,High,Truck over speed and hit to Tractor,Truck/Lorry (Government),19,2,7,High
SIKKIM,Gyalshing,Jeevanbhima Nagar,2020,December,13,Medium,car over speed and hit to two wheeler,Bus (Government),22,24,23,Medium
SIKKIM,Jorethang,Jogupalya,2020,December,30,Medium,Truck lost control and hit to the car. Negligent driving of car driver.,Tempo/Vans (Government),3,21,20,Medium
SIKKIM,Mangan,K R Puram,2020,December,23,High,Self accidents Drunk & Drive,Jeep (Government),1,2,3,High
SIKKIM,Gangtok,Kacharkanahalli,2020,December,22,Low,Two wheeler over speed defects in mechanical condition,Car (Government),10,22,23,Low
SIKKIM,Gyalshing,Kadugodi,2020,December,20,Medium,Drunk & Drive,Bus (Government),20,12,14,Medium
SIKKIM,Jorethang,Kammanahalli,2020,December,11,Low,Car fault of mechanical condition vehicle out of control,Tempo/Vans (Government),21,34,40,Low
SIKKIM,Mangan,Konena Agrahara,2020,December,19,Low,Two wheeler over speed and hit to LCV,Car (Government),23,21,22,Low
SIKKIM,Namchi,Madivala,2020,December,18,Medium,Bus over speed and Hit to Tow wheeler,Truck/Lorry (Government),21,34,50,Medium
TAMIL NADU,Chennai,Marathahalli,2020,December,15,Low,Bike,Bus (Government),12,21,30,Low
TAMIL NADU,Coimbatore,New Tippasandara,2020,December,14,Low,Tata Ace,Tempo/Vans (Government),15,22,30,Low
TAMIL NADU,Madurai,Other,2020,January,12,Medium,Car,Car (Government),13,21,20,Medium
TAMIL NADU,Tiruchirapalli,other,2020,January,18,Medium,Innova Car,Truck/Lorry (Government),10,23,40,Medium
TAMIL NADU,Tiruppur,Ramamurthy Nagar,2020,January,17,High,Unknown vehicle over speed and hit to two wheeler,Tempo/Vans (Government),20,3,5,High
TAMIL NADU,Salem,Sampangiram Nagar,2020,January,14,Low,LCV over speed and hit to car,Jeep (Government),5,2,4,Low
TAMIL NADU,Erode,Sarakki,2020,January,9,Medium,Self accident Car,Car (Government),6,3,5,Medium
TAMIL NADU,Tirunelveli,Shantala Nagar,2020,January,8,Medium,LCV over speed and hit to Two wheeler,Tempo/Vans (Government),7,7,8,Medium
TAMIL NADU,Chennai,Singasandra,2020,January,10,High,Car over speed and Hit to the Motor vehicle,Car (Government),9,23,25,High
TAMIL NADU,Coimbatore,Sudham Nagara,2020,January,20,Low,Two wheeler over speed Self accident,Truck/Lorry (Government),1,12,30,Low
TAMIL NADU,Madurai,Varthuru,2020,January,2,High,Two wheeler over speed and hit to two wheeler,Tempo/Vans (Government),12,20,31,High
TAMIL NADU,Tiruchirapalli,Vasanthpura,2020,January,1,Low,Bus over speed and Hit to Road crossing Pedestrian,Car (Government),5,1,10,Low
TAMIL NADU,Tiruppur,Vijnana Nagar,2020,January,5,Medium,KSRTC bus hit to the Tata Ace due to over speed and over turning,Car (Government),6,4,21,Medium
TAMIL NADU,Salem,Vijnanapura,2020,January,6,High,Vehicle over speed and Out of Control,Tempo/Vans (Government),3,23,40,High
TAMIL NADU,Erode,Yelchenahalli,2020,January,4,Low,Fault of Pedestrian for Road Cross,Jeep (Government),5,2,7,Low
TAMIL NADU,Tirunelveli,A Narayanapura,2020,January,7,High,Car over speed self accident,Car (Government),10,24,23,High
TAMIL NADU,Tiruppur,Agaram,2020,January,23,High,Fault of Road crossing pedestrian,Tempo/Vans (Government),12,21,20,High
TAMIL NADU,Salem,Banasavadi,2020,January,21,Low,Two wheeler over speed self accident,Jeep (Government),15,2,3,Low
TAMIL NADU,Erode,Basavanapura,2020,January,12,High,car over speed and hit to two wheeler,Car (Government),20,22,23,High
TAMIL NADU,Tirunelveli,Bellanduru,2020,January,31,High,Self accident vehicle over speed,Car (Government),2,12,14,High
TAMIL NADU,Madurai,Benniganahalli,2020,February,13,Low,Two wheeler over speed and hit to Two wheeler,Tempo/Vans (Government),19,34,40,Low
TRIPURA,Agartala,Bharathi Nagar,2020,February,30,High,Truck over speed and hit to car,Three Wheeler,17,21,22,High
TRIPURA,Dharmanagar,BTM Layout,2020,February,23,Medium,Truck over speed and hit to Bus,Truck/Lorry (Government),16,34,50,Medium
TRIPURA,Udaipur,C V Raman Nagar,2020,February,22,Low,Two wheeler over speed and hit to Car,Tempo/Vans (Government),2,21,30,Low
TRIPURA,Kailasahar,Chickpete,2020,February,20,Low,TATA Indica,Car (Government),13,22,30,Low
TRIPURA,Bishalgarh,Devasandra,2020,February,11,High,Two wheeler over speed and hit to Auto,Jeep (Government),17,21,20,High
TRIPURA,Agartala,Dharmaraya Swamy Temple,2020,February,19,Medium,Car over speed and hit to road crossing Pedestrian,Car (Government),2,23,40,Medium
TRIPURA,Dharmanagar,Dodda Nekkundi,2020,February,18,Medium,Bike over speed fault of Motor vehicle,Truck/Lorry (Government),1,3,5,Medium
TRIPURA,Udaipur,Domlur,2020,February,15,Low,Drunk & Drive,Tempo/Vans (Government),2,2,4,Low
TRIPURA,Kailasahar,Garudachar Playa,2020,March,14,Medium,Fault of car vehicle over speed and hit to bike,Car (Government),4,3,5,Medium
TRIPURA,Bishalgarh,Gurappanapalya,2020,March,12,Low,car over speed and hit to two wheeler,Bicycle,5,7,8,Low
TRIPURA,Agartala,Hagadur,2020,March,18,Medium,Car,Jeep (Government),8,23,25,Medium
TRIPURA,Dharmanagar,HAL Airport,2020,March,17,High,Bike,Car (Government),11,12,30,High
TRIPURA,Udaipur,Halsoor,2020,March,14,Low,Unknown vehicle hit to Road crossing pedestrian,Bicycle,9,20,31,Low
TRIPURA,Kailasahar,Hemmigepura,2020,March,9,Low,Unknown vehicle over speed and hit to two wheeler,Jeep (Government),13,1,10,Low
TRIPURA,Bishalgarh,Horamavu,2020,March,8,Low,car over speed and hit to two wheeler,Car (Government),20,4,21,Low
TRIPURA,Agartala,Hoysala Nagar,2020,March,10,Low,Drunk & Drive vehicle out of control and Hit to the Bike,Bicycle,21,23,40,Low
TRIPURA,Dharmanagar,HSR Layout,2020,March,20,Medium,Sumo over speed and hit to the Multi Axle in Maincarriageway,Pedestrian,19,2,7,Medium
TRIPURA,Udaipur,Hudi,2020,March,2,Medium,Unknown vehicle hit to Road crossing pedestrian. Fault of pedestrian.,Jeep (Government),22,24,23,Medium
TRIPURA,Kailasahar,J P Nagar,2020,March,1,High,LCV over speed hit to car,Tempo/Vans (Government),3,21,20,High
TRIPURA,Bishalgarh,Jaraganahalli,2020,April,5,Medium,Truck hit to car. Fault of car,Tempo/Vans (Government),1,2,3,Medium
TRIPURA,Ambassa,Jayanagar East,2020,April,6,High,LCV Tyre blast vehicle out of control,Jeep (Government),10,22,23,High
UTTAR PRADESH,Kanpur,Jeevanbhima Nagar,2020,April,4,Medium,Car over speed self accident,Bicycle,20,12,14,Medium
UTTAR PRADESH,Lucknow,Jogupalya,2020,April,7,Medium,Fault of Two wheeler over speed to crossing road car was hit to two wheeler.,Tempo/Vans (Government),21,34,40,Medium
UTTAR PRADESH,Faizabad,K R Puram,2020,April,23,High,Over speed vehicle out of control and hit to the loory,Tempo/Vans (Government),23,21,22,High
UTTAR PRADESH,Gorakhpur,Kacharkanahalli,2020,April,21,Low,Car over speed and hit to LCV,Truck/Lorry (Government),21,34,50,Low
UTTAR PRADESH,Ghaziabad,Kadugodi,2020,April,12,Medium,Car over speed and hit to LCV,Tempo/Vans (Government),12,21,30,Medium
UTTAR PRADESH,Noida,Kammanahalli,2020,April,31,Low,Fault of Road crossing pedestrian,Jeep (Government),15,22,30,Low
UTTAR PRADESH,Saharanpur,Konena Agrahara,2020,April,13,Low,Car over speed hit to car,Truck/Lorry (Government),13,21,20,Low
UTTAR PRADESH,Agra,Madivala,2020,April,30,Medium,Fault of Motor vehicel over speeding,Tempo/Vans (Government),10,23,40,Medium
UTTAR PRADESH,Kanpur,Marathahalli,2020,April,23,Low,Two wheeler over speed Self accident,Jeep (Government),20,3,5,Low
UTTAR PRADESH,Lucknow,New Tippasandara,2020,April,22,Low,Two wheeler speed and Hit to Crane,Truck/Lorry (Government),5,2,4,Low
UTTAR PRADESH,Faizabad,Other,2020,April,20,Medium,Car over speed and hit to Agriculture vehicle.,Tempo/Vans (Government),6,3,5,Medium
UTTAR PRADESH,Gorakhpur,other,2020,April,11,Medium,Fault of road crossing pedestrian.,Jeep (Government),7,7,8,Medium
UTTAR PRADESH,Ghaziabad,Ramamurthy Nagar,2020,April,19,High,Car over speed and hit to car,Truck/Lorry (Government),9,23,25,High
UTTAR PRADESH,Noida,Sampangiram Nagar,2020,April,18,Low,Two wheeler self accident Drunk & Drive,Bus (Government),1,12,30,Low
UTTAR PRADESH,Saharanpur,Sarakki,2020,April,15,Medium,Car over speed and hit to car,Tempo/Vans (Government),12,20,31,Medium
UTTAR PRADESH,Agra,Shantala Nagar,2020,April,14,Medium,TATA ACE,Jeep (Government),5,1,10,Medium
UTTAR PRADESH,Ghaziabad,Singasandra,2020,April,12,High,Car,Truck/Lorry (Government),6,4,21,High
UTTAR PRADESH,Noida,Sudham Nagara,2020,May,18,Low,Car over speed and hit to car.,Bus (Government),3,23,40,Low
UTTAR PRADESH,Saharanpur,Varthuru,2020,June,17,High,Car over speed and hit to over turning car,Tempo/Vans (Government),5,2,7,High
UTTAR PRADESH,Agra,Vasanthpura,2020,July,14,Low,Van over speed self accident,Jeep (Government),10,24,23,Low
UTTAR PRADESH,Agra,Vijnana Nagar,2020,August,9,Medium,Two wheeler over speed Self accident,Car (Government),12,21,20,Medium
UTTARAKHAND,Dehradun,Vijnanapura,2020,September,8,High,Car lost control,Tempo/Vans (Government),15,2,3,High
UTTARAKHAND,Haldwani-cum-Kathgodam,Yelchenahalli,2020,October,10,Low,Car,Car (Government),20,22,23,Low
UTTARAKHAND,Haridwar,A Narayanapura,2020,November,20,High,Two wheeler over speed Self accident,Bus (Government),2,12,14,High
UTTARAKHAND,Roorkee,Agaram,2020,December,2,High,Two wheeler over speed and hit to two wheeler,Bus (Government),19,34,40,High
UTTARAKHAND,Rudrapur,Banasavadi,2020,November,1,Low,Drunk & Drive,Truck/Lorry (Government),17,21,22,Low
UTTARAKHAND,Kashipur,Basavanapura,2020,November,5,High,Two wheeler over speed and hit to LCV,Tempo/Vans (Government),16,34,50,High
UTTARAKHAND,Rishikesh,Bellanduru,2020,November,6,High,Car over speed and hit to car,Truck/Lorry (Government),2,21,30,High
UTTARAKHAND,Dehradun,Benniganahalli,2020,November,4,Low,Multi axle hit to Truck,Truck/Lorry (Government),13,22,30,Low
UTTARAKHAND,Haldwani-cum-Kathgodam,Bharathi Nagar,2020,November,7,High,Car self accident due to Over speed,Tempo/Vans (Government),17,21,20,High
UTTARAKHAND,Haridwar,BTM Layout,2020,November,23,Medium,Car hit to Two wheeler due to bike over speed turning the car,Car (Government),2,23,40,Medium
UTTARAKHAND,Roorkee,C V Raman Nagar,2020,November,21,Low,Self,Truck/Lorry (Government),1,3,5,Low
UTTARAKHAND,Rudrapur,Chickpete,2020,November,12,Low,Fault of Pedestrian road crossing the vehicle hit to the pedestrian,Tempo/Vans (Government),2,2,4,Low
UTTARAKHAND,Kashipur,Devasandra,2020,November,31,High,Tyre blast vehicle out of control,Jeep (Government),4,3,5,High
UTTARAKHAND,Rishikesh,Dharmaraya Swamy Temple,2020,November,13,Medium,Two wheeler over speed Self accident Drunk & Drive,Truck/Lorry (Government),5,7,8,Medium
UTTARAKHAND,Dehradun,Dodda Nekkundi,2020,October,30,Medium,Two wheeler over speed and hit to car in MCW,Tempo/Vans (Government),8,23,25,Medium
UTTARAKHAND,Haldwani-cum-Kathgodam,Domlur,2020,October,23,Low,Car over speed,Car (Government),11,12,30,Low
UTTARAKHAND,Haridwar,Garudachar Playa,2020,October,22,Medium,Two wheeler over speed and hit to LCV,Tempo/Vans (Government),9,20,31,Medium
UTTARAKHAND,Roorkee,Gurappanapalya,2020,October,20,Low,car over speed and hit to two wheeler,Car (Government),13,1,10,Low
UTTARAKHAND,Rudrapur,Hagadur,2020,October,11,Medium,Bus over speed and hit to Car,Truck/Lorry (Government),20,4,21,Medium
UTTARAKHAND,Kashipur,HAL Airport,2020,October,19,High,Two wheeler over speed and hit to LCV,Tempo/Vans (Government),21,23,40,High
UTTARAKHAND,Rishikesh,Halsoor,2020,October,18,Low,Two wheeler over speed and hit to two wheeler,Truck/Lorry (Government),19,2,7,Low
WEST BENGAL,Kolkata,Hemmigepura,2020,October,15,Low,Multi axle over speed and hit to Two wheeler,Truck/Lorry (Private),22,24,23,Low
WEST BENGAL,Asansol,Horamavu,2020,October,14,Low,Bus over speed and Hit to Tow wheeler,Bus (Government),3,21,20,Low
WEST BENGAL,Siliguri,Hoysala Nagar,2020,October,12,Low,Bike,Bus (Private),1,2,3,Low
WEST BENGAL,Durgapur,HSR Layout,2020,October,18,Medium,Two wheeler over speed self accident,Tempo/Vans (Government),10,22,23,Medium
WEST BENGAL,Bardhaman,Hudi,2020,October,17,Medium,Bike,Tempo/Vans (Private),20,12,14,Medium
WEST BENGAL,Gaighata,J P Nagar,2020,October,14,High,Two wheeler over speed and hit to Car,Jeep (Government),21,34,40,High
WEST BENGAL,Kharagpur,Jaraganahalli,2020,October,9,Medium,Bike over speed fault of Motor vehicle,Jeep (Private),23,21,22,Medium
WEST BENGAL,Shantipur,Jayanagar East,2020,October,8,High,Two wheeler over speed and hit to two wheeler. Negligence Driving.,Car (Government),21,34,50,High
WEST BENGAL,Dankuni,Jeevanbhima Nagar,2020,October,10,Medium,Self accident Two wheeler over speed,Car (Private),12,21,30,Medium
WEST BENGAL,Kolkata,Jogupalya,2020,September,20,Medium,Car over speed and hit to car,Three Wheeler,15,22,30,Medium
WEST BENGAL,Asansol,K R Puram,2020,September,2,High,Car over speed hit to Hydra,Bicycle,13,21,20,High
WEST BENGAL,Siliguri,Kacharkanahalli,2020,September,1,Low,Two wheeler over speed and hit to car,Pedestrian,10,23,40,Low
WEST BENGAL,Durgapur,Kadugodi,2020,September,5,Medium,Two wheeler over speed and hit to Truck,Others (Please Specify),20,3,5,Medium
WEST BENGAL,Bardhaman,Kammanahalli,2020,September,6,Low,Truck over speed and hit to LCV,Total Truck/Lorry,5,2,4,Low
WEST BENGAL,Gaighata,Konena Agrahara,2020,September,4,Low,Car over speed self accident,Total Bus,6,3,5,Low
WEST BENGAL,Kharagpur,Madivala,2020,September,7,Medium,car over speed and hit to two wheeler,Total Tempo/Vans,7,7,8,Medium
WEST BENGAL,Shantipur,Marathahalli,2020,September,23,Low,Car over speed,Total Jeep,9,23,25,Low
WEST BENGAL,Dankuni,New Tippasandara,2020,September,21,Low,LCV over speed and hit to Car,Total Car,5,2,4,Low
WEST BENGAL,Shantipur,Other,2020,September,12,Medium,Mini truck crushed with school bus. Negligent driving of Mini truck driver,Truck/Lorry (Government),6,3,5,Medium
WEST BENGAL,Dankuni,other,2020,September,31,Medium,Drunk & Drive,Truck/Lorry (Private),7,7,8,Medium
WEST BENGAL,Dankuni,Ramamurthy Nagar,2020,September,13,High,Two wheeler over speed self accident,Bus (Government),9,23,25,High
